x,Curve1
0.101486,1.05685
0.1213,1.05659
0.14499,1.05204
0.17978,1.06029
0.23006,1.0685
0.29287,1.081
0.36703,1.11066
0.46239,1.14889
0.55864,1.20432
0.654,1.25551
0.76168,1.32386
0.83739,1.40514
0.90635,1.51216
0.98103,1.62775
1.08992,1.70902
1.2627,1.76451
1.5015,1.79425
1.8232,1.80254
2.1116,1.79375
2.4973,1.75922
2.969,1.73753
3.3143,1.70309
4.0667,1.70279
5.2588,1.70241
8.521,1.70169
