x,Curve2
0.100835,0.76973
0.12635,0.76512
0.17492,0.76892
0.25121,0.77267
0.34963,0.78932
0.48155,0.81885
0.6327,0.86559
0.76844,0.9253
0.87636,0.98938
0.95848,1.08353
1.02103,1.14772
1.13421,1.1947
1.2665,1.22882
1.4593,1.24147
1.6464,1.23701
1.9068,1.22393
2.1967,1.19801
2.5574,1.17208
3.0086,1.14184
3.3238,1.13312
4.057,1.12854
5.0837,1.12821
6.5738,1.12783
8.5457,1.13601
